beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std,sigma-5_mean,sigma-5_std,sigma-6_mean,sigma-6_std,sigma-7_mean,sigma-7_std,sigma-8_mean,sigma-8_std,sigma-9_mean,sigma-9_std,sigma-10_mean,sigma-10_std,sigma-11_mean,sigma-11_std,sigma-12_mean,sigma-12_std,sigma-13_mean,sigma-13_std,sigma-14_mean,sigma-14_std,sigma-15_mean,sigma-15_std,sigma-16_mean,sigma-16_std,sigma-17_mean,sigma-17_std,sigma-18_mean,sigma-18_std,sigma-19_mean,sigma-19_std,sigma-20_mean,sigma-20_std,sigma-21_mean,sigma-21_std,sigma-22_mean,sigma-22_std,sigma-23_mean,sigma-23_std,sigma-24_mean,sigma-24_std,sigma-25_mean,sigma-25_std,sigma-26_mean,sigma-26_std,sigma-27_mean,sigma-27_std,sigma-28_mean,sigma-28_std,sigma-29_mean,sigma-29_std,sigma-30_mean,sigma-30_std,sigma-31_mean,sigma-31_std,sigma-32_mean,sigma-32_std,sigma-33_mean,sigma-33_std,sigma-34_mean,sigma-34_std,sigma-35_mean,sigma-35_std,sigma-36_mean,sigma-36_std,sigma-37_mean,sigma-37_std,sigma-38_mean,sigma-38_std,sigma-39_mean,sigma-39_std,sigma-40_mean,sigma-40_std,sigma-41_mean,sigma-41_std,sigma-42_mean,sigma-42_std,sigma-43_mean,sigma-43_std,sigma-44_mean,sigma-44_std,sigma-45_mean,sigma-45_std,sigma-46_mean,sigma-46_std,sigma-47_mean,sigma-47_std,sigma-48_mean,sigma-48_std,sigma-49_mean,sigma-49_std,sigma-50_mean,sigma-50_std,sigma-51_mean,sigma-51_std,sigma-52_mean,sigma-52_std,sigma-53_mean,sigma-53_std,sigma-54_mean,sigma-54_std,sigma-55_mean,sigma-55_std,sigma-56_mean,sigma-56_std,sigma-57_mean,sigma-57_std,sigma-58_mean,sigma-58_std,sigma-59_mean,sigma-59_std,sigma-60_mean,sigma-60_std,sigma-61_mean,sigma-61_std,sigma-62_mean,sigma-62_std,sigma-63_mean,sigma-63_std
3.0,25.89040257224142,23.736468016211667,2.15393455425051,0.9991995692253113,0.01732907071709633,0.9987780451774597,0.015312975272536278,0.999244213104248,0.016619190573692322,0.9990588426589966,0.01602032035589218,0.9984824657440186,0.016254665330052376,0.9990967512130737,0.016265301033854485,0.99901282787323,0.018016401678323746,0.9990274906158447,0.014960389584302902,0.9990128874778748,0.017579205334186554,0.9987981915473938,0.014951450750231743,0.9989088773727417,0.015405860729515553,0.9990954995155334,0.016621489077806473,0.9991820454597473,0.014914358966052532,0.9992274641990662,0.015900705009698868,0.9986260533332825,0.016184361651539803,0.9989579916000366,0.015554483979940414,0.9990794658660889,0.01640486717224121,0.9986698627471924,0.01654849946498871,0.9985020756721497,0.01479395106434822,0.9988690614700317,0.016294198110699654,0.9978519082069397,0.017879392951726913,0.9986140727996826,0.016409531235694885,0.9978859424591064,0.01643204130232334,0.9964309334754944,0.017855148762464523,0.9991826415061951,0.016320686787366867,0.9986687302589417,0.015189322642982006,0.9970773458480835,0.018325481563806534,0.9991277456283569,0.016956837847828865,0.9985348582267761,0.016719559207558632,0.9989379048347473,0.018412049859762192,0.9992473125457764,0.018280239775776863,0.9982752799987793,0.01684304140508175,0.9990239143371582,0.017384635284543037,0.9991524815559387,0.0186836589127779,0.6659605503082275,0.05910743027925491,0.9981987476348877,0.016435088589787483,0.9989564418792725,0.0168448556214571,0.9985064268112183,0.016795689240098,0.9988101124763489,0.014457925222814083,0.9992040991783142,0.01640014536678791,0.9985134601593018,0.015751108527183533,0.9991808533668518,0.0166457686573267,0.9990119934082031,0.016307948157191277,0.9981334805488586,0.01637907139956951,0.9987429976463318,0.015457160770893097,0.9992262125015259,0.016205348074436188,0.9979912042617798,0.01805027760565281,0.99885493516922,0.017017029225826263,0.9986626505851746,0.015064822509884834,0.9988608360290527,0.015929030254483223,0.9988435506820679,0.0163559652864933,0.8509883284568787,0.04967310279607773,0.9970109462738037,0.016901420429348946,0.9955310821533203,0.016735916957259178,0.9987411499023438,0.017132803797721863,0.9991642832756042,0.01731361821293831,0.9992169737815857,0.015466024167835712,0.99883633852005,0.0165112167596817,0.9990271925926208,0.015444454737007618,0.9233863949775696,0.0327935554087162,0.9988685250282288,0.013790549710392952,0.9990243315696716,0.014319461770355701,0.9989223480224609,0.015955990180373192,0.998712420463562,0.016510777175426483
3.1,25.98390518017669,24.055261589570847,1.9286436040772559,0.9988860487937927,0.01642293855547905,0.9956099390983582,0.015599671751260757,0.9990803599357605,0.015806779265403748,0.9990720748901367,0.015487650409340858,0.9992736577987671,0.014857584610581398,0.9983793497085571,0.015530887059867382,0.9988380074501038,0.016572311520576477,0.9990138411521912,0.01576666720211506,0.6806657314300537,0.06438562273979187,0.9990687966346741,0.016475582495331764,0.997646689414978,0.017309311777353287,0.9991475939750671,0.016325701028108597,0.9987791180610657,0.017724037170410156,0.99922114610672,0.01633618213236332,0.9969413876533508,0.01588437892496586,0.9990121722221375,0.017493104562163353,0.998239278793335,0.016137974336743355,0.9990906715393066,0.01568036526441574,0.9989195466041565,0.017009077593684196,0.9991828799247742,0.017022285610437393,0.9989529848098755,0.014850959181785583,0.998765766620636,0.014191213995218277,0.9990677833557129,0.015758514404296875,0.9989238977432251,0.01584315486252308,0.9974520206451416,0.014789080247282982,0.9979733824729919,0.016773995012044907,0.9987526535987854,0.017299268394708633,0.9965590238571167,0.01626022718846798,0.999010443687439,0.015710746869444847,0.9977996349334717,0.016334446147084236,0.9985737204551697,0.016464997082948685,0.9985752105712891,0.01529765035957098,0.9990811944007874,0.01593119278550148,0.9991441965103149,0.016567809507250786,0.9990620613098145,0.01618262194097042,0.9987974166870117,0.016183702275156975,0.9988462924957275,0.01643696427345276,0.9993315935134888,0.014570188708603382,0.9992597699165344,0.015554270707070827,0.9989888072013855,0.01507662981748581,0.9990817308425903,0.01470431499183178,0.9987898468971252,0.015644263476133347,0.9985154271125793,0.01557258702814579,0.9960866570472717,0.016054688021540642,0.9990186095237732,0.016716208308935165,0.9987121820449829,0.01692768558859825,0.9983334541320801,0.015991974622011185,0.9987359642982483,0.017075182870030403,0.9977890253067017,0.015970464795827866,0.9965944290161133,0.01573057472705841,0.9958045482635498,0.01900983229279518,0.997728168964386,0.01642397791147232,0.9982464909553528,0.015670210123062134,0.9967829585075378,0.01876041106879711,0.9983518719673157,0.018121356144547462,0.9989510178565979,0.015450229868292809,0.9990912079811096,0.017039136961102486,0.9972524642944336,0.017544658854603767,0.9984322190284729,0.01828518696129322,0.9970148801803589,0.016864832490682602,0.9971102476119995,0.014983145520091057,0.8609300255775452,0.05693724751472473,0.9990828037261963,0.015592998825013638,0.9988464117050171,0.015223350375890732
3.2,26.073284873067696,24.53517312129169,1.5381117907287216,0.9989379048347473,0.016923772171139717,0.9974546432495117,0.016618022695183754,0.9986123442649841,0.016811110079288483,0.9990009069442749,0.014792061410844326,0.9963648915290833,0.01682756282389164,0.9988453984260559,0.016282707452774048,0.9988129734992981,0.015014050528407097,0.9982991814613342,0.016353052109479904,0.9992401599884033,0.016794029623270035,0.9993491172790527,0.016574358567595482,0.9959862232208252,0.01702902838587761,0.9964397549629211,0.016327839344739914,0.9976244568824768,0.014010881073772907,0.9993190765380859,0.015515717677772045,0.9986628293991089,0.01733248308300972,0.9984654784202576,0.017205247655510902,0.9978005886077881,0.016230110079050064,0.9988541603088379,0.014859287068247795,0.9975656270980835,0.017503660172224045,0.9954807162284851,0.016513323411345482,0.9964574575424194,0.017791561782360077,0.997539222240448,0.015543865971267223,0.9983123540878296,0.015743030235171318,0.9988723397254944,0.01591724343597889,0.9987324476242065,0.01705237105488777,0.9976094961166382,0.015771953389048576,0.9987786412239075,0.015615247189998627,0.9989180564880371,0.016154592856764793,0.997942328453064,0.015919113531708717,0.9991466999053955,0.015917278826236725,0.9975723028182983,0.01590503379702568,0.995698869228363,0.01564561016857624,0.9991689324378967,0.015758372843265533,0.9991397261619568,0.0155622698366642,0.9980764985084534,0.016883324831724167,0.9978916049003601,0.01585286296904087,0.9979424476623535,0.01622377522289753,0.9988310933113098,0.015724176540970802,0.9979338049888611,0.01594776101410389,0.9985052347183228,0.01589452289044857,0.9987631440162659,0.014426082372665405,0.9972447156906128,0.01527058333158493,0.9978850483894348,0.016498440876603127,0.9990720152854919,0.015462350100278854,0.99929279088974,0.015063810162246227,0.9985871315002441,0.016094757243990898,0.9922069907188416,0.016745930537581444,0.9981207847595215,0.016279706731438637,0.9988412261009216,0.01792140118777752,0.9988649487495422,0.016976671293377876,0.998875081539154,0.016095858067274094,0.998733639717102,0.014379381202161312,0.6922938823699951,0.07077506184577942,0.9987397193908691,0.014582726173102856,0.9968481659889221,0.01593172922730446,0.9941372871398926,0.017383670434355736,0.9975721836090088,0.01581117883324623,0.9993693232536316,0.015071953646838665,0.9977501034736633,0.015923457220196724,0.9985654354095459,0.016569942235946655,0.9992433190345764,0.015131811611354351,0.9984153509140015,0.016071755439043045,0.9972686171531677,0.016055691987276077,0.9981718063354492,0.015805501490831375
3.3,26.103039889955827,24.692253635382095,1.4107862209587463,0.9994127750396729,0.016219448298215866,0.9990828633308411,0.015978876501321793,0.9981341361999512,0.017341895028948784,0.9986345171928406,0.015245710499584675,0.9984328746795654,0.015339314937591553,0.9982630014419556,0.01604858785867691,0.997665524482727,0.014655573293566704,0.9983409643173218,0.016344673931598663,0.9990884065628052,0.015464882366359234,0.9979782104492188,0.01626993715763092,0.9978281259536743,0.018517395481467247,0.9989185929298401,0.015519330278038979,0.9985579252243042,0.016707204282283783,0.9985190033912659,0.015658022835850716,0.997938871383667,0.014625449664890766,0.9987677335739136,0.01742461323738098,0.998013436794281,0.016145670786499977,0.9980577230453491,0.015171936713159084,0.9982369542121887,0.016561461612582207,0.9990690350532532,0.016395162791013718,0.9983556270599365,0.01599167473614216,0.9984644055366516,0.01494411937892437,0.9993200302124023,0.015815693885087967,0.9975824952125549,0.01614031381905079,0.9985356330871582,0.01632397435605526,0.9982240796089172,0.015735507011413574,0.9992228746414185,0.015914322808384895,0.9984456896781921,0.01658792421221733,0.9975419640541077,0.014807244762778282,0.998333215713501,0.014894029125571251,0.9973515868186951,0.0168794896453619,0.9991489052772522,0.014484223909676075,0.9984044432640076,0.014896945096552372,0.9993529319763184,0.015431086532771587,0.9989559650421143,0.015233856625854969,0.9989756941795349,0.015121439471840858,0.9986889958381653,0.0155180087313056,0.998891294002533,0.014915279112756252,0.9986683130264282,0.014337162487208843,0.999076783657074,0.015724409371614456,0.9984965324401855,0.01581604778766632,0.9926272034645081,0.01719656027853489,0.9993034601211548,0.016481105238199234,0.9984093308448792,0.01534395944327116,0.9984407424926758,0.015614386647939682,0.9990856051445007,0.015280002728104591,0.9993117451667786,0.014584739692509174,0.998816192150116,0.014492695219814777,0.9977802634239197,0.015480964444577694,0.9989141821861267,0.01568208634853363,0.9977017045021057,0.016673365607857704,0.9969061017036438,0.01631404273211956,0.7102792263031006,0.06960136443376541,0.9989838004112244,0.01551610603928566,0.9986770749092102,0.015630947425961494,0.9994520545005798,0.015031957998871803,0.9981800317764282,0.016363482922315598,0.9985116720199585,0.01660097949206829,0.9990807771682739,0.015314221382141113,0.9989945292472839,0.014962093904614449,0.9983728528022766,0.0158737413585186,0.9992074370384216,0.015000419691205025,0.9989760518074036,0.014057394117116928,0.9985892176628113,0.015187331475317478
3.4,26.15678593853135,24.819423464061355,1.3373625053525733,0.9983171224594116,0.01559709943830967,0.9971365928649902,0.016537407413125038,0.9968160390853882,0.01622939482331276,0.9990274310112,0.01589273475110531,0.9992835521697998,0.014239612966775894,0.9987494945526123,0.015633324161171913,0.7215338349342346,0.07111606746912003,0.9990329146385193,0.01541077345609665,0.9990838766098022,0.015368027612566948,0.9976995587348938,0.01539268996566534,0.9978371858596802,0.016283225268125534,0.9992840886116028,0.016056422144174576,0.9990342855453491,0.017243407666683197,0.9992437958717346,0.0161442793905735,0.9975718855857849,0.016905955970287323,0.9993818402290344,0.01554895006120205,0.9988913536071777,0.015813343226909637,0.9993227124214172,0.0138454120606184,0.999172568321228,0.01407666876912117,0.9990498423576355,0.015995139256119728,0.9994136095046997,0.013934644870460033,0.998801052570343,0.015762407332658768,0.9989910125732422,0.01480040978640318,0.9990540742874146,0.015120480209589005,0.9989975690841675,0.014834540896117687,0.9989801049232483,0.015394245274364948,0.9969075918197632,0.017032565549016,0.9987139701843262,0.016100624576210976,0.9991071224212646,0.015380224213004112,0.9991527199745178,0.014924095012247562,0.9988961815834045,0.01623735949397087,0.998978853225708,0.01428072527050972,0.9992823600769043,0.015049725770950317,0.9991509914398193,0.015695815905928612,0.9989424347877502,0.015323936939239502,0.9991418719291687,0.01543576829135418,0.9986440539360046,0.01492758933454752,0.9993963837623596,0.014558490365743637,0.9992666244506836,0.014358008280396461,0.9956727027893066,0.015239313244819641,0.9994195699691772,0.015871431678533554,0.9988880753517151,0.015020987018942833,0.9991948008537292,0.01692853309214115,0.9984835386276245,0.017503075301647186,0.9993478655815125,0.015118026174604893,0.9981460571289062,0.01786406897008419,0.9996463656425476,0.015991555526852608,0.9987063407897949,0.015247982926666737,0.9985800981521606,0.015739809721708298,0.9991931915283203,0.014744261279702187,0.9990910887718201,0.015586234629154205,0.9993045330047607,0.014546406455338001,0.9991835355758667,0.013283987529575825,0.9993544816970825,0.01495108287781477,0.9982370734214783,0.014154748059809208,0.9990162253379822,0.015423119999468327,0.9989237785339355,0.01492750272154808,0.9989812970161438,0.015570618212223053,0.9986832141876221,0.014624248258769512,0.9991815090179443,0.014715271070599556,0.9991874098777771,0.015894535928964615,0.9985837936401367,0.016658790409564972,0.9989757537841797,0.016307171434164047,0.9992381930351257,0.014728633686900139
3.5,26.169355195214244,24.935466833460307,1.2338883522222799,0.9992554187774658,0.013391776010394096,0.998633086681366,0.016054004430770874,0.9993100762367249,0.014255363494157791,0.9992713928222656,0.013595941476523876,0.9987962245941162,0.015604354441165924,0.9993566274642944,0.01383645087480545,0.9989625811576843,0.015352129004895687,0.9993235468864441,0.014486263506114483,0.9988809823989868,0.015246152877807617,0.9990996718406677,0.015884626656770706,0.9991738796234131,0.014469465240836143,0.9993478655815125,0.016394808888435364,0.9994105696678162,0.01645149290561676,0.9991810917854309,0.014464601874351501,0.9991816878318787,0.014960600063204765,0.9988691806793213,0.014957007952034473,0.9992894530296326,0.014869692735373974,0.9986087083816528,0.014135307632386684,0.9990402460098267,0.014207619242370129,0.9991252422332764,0.01432295423001051,0.9991289973258972,0.015956362709403038,0.9992908835411072,0.012648062780499458,0.7400044798851013,0.06993823498487473,0.9989795088768005,0.014363478869199753,0.9972691535949707,0.016118254512548447,0.9990786910057068,0.015317813493311405,0.9988545775413513,0.015867918729782104,0.9989543557167053,0.015424488112330437,0.9993101358413696,0.014349122531712055,0.9991371035575867,0.015484211966395378,0.9992778897285461,0.014957956969738007,0.9987758994102478,0.015176121145486832,0.9991189241409302,0.015066546387970448,0.9991462826728821,0.016795985400676727,0.9994051456451416,0.014213629066944122,0.998490035533905,0.015806809067726135,0.9977321028709412,0.017093123868107796,0.99817955493927,0.016604242846369743,0.9990124106407166,0.014948638156056404,0.9988393187522888,0.013793425634503365,0.9993423223495483,0.01491257082670927,0.9993322491645813,0.014377242885529995,0.9982830286026001,0.016018154099583626,0.9988247156143188,0.01481381431221962,0.9993049502372742,0.014649237506091595,0.999239444732666,0.013425488024950027,0.9991104006767273,0.014056946150958538,0.9992498159408569,0.013850852847099304,0.9991224408149719,0.014490618370473385,0.999462366104126,0.013662133365869522,0.9994489550590515,0.013618228025734425,0.9993934035301208,0.014978302642703056,0.9991544485092163,0.015379054471850395,0.9993534684181213,0.0148000568151474,0.9992494583129883,0.014995896257460117,0.9993816018104553,0.012968488037586212,0.9978944063186646,0.015797503292560577,0.9993540644645691,0.013509551994502544,0.9993814826011658,0.013421204872429371,0.9988418817520142,0.01571028307080269,0.999392032623291,0.014712203294038773,0.9991489052772522,0.015386817045509815,0.9991883635520935,0.015915874391794205,0.9992014765739441,0.015266411006450653
3.6,26.214966609279738,25.034171586351864,1.1807950217205325,0.9991474747657776,0.014080085791647434,0.9986407160758972,0.015060468576848507,0.9993482828140259,0.0144120492041111,0.9995348453521729,0.012615642510354519,0.9996651411056519,0.015199894085526466,0.9992560744285583,0.014482381753623486,0.9991264939308167,0.014057783409953117,0.9980659484863281,0.01371502224355936,0.9994356036186218,0.014276964589953423,0.9995684623718262,0.014684240333735943,0.751473605632782,0.0688992366194725,0.9982326030731201,0.01523621380329132,0.9990701079368591,0.014046653173863888,0.9993613958358765,0.012983538210391998,0.9990222454071045,0.014543749392032623,0.9986027479171753,0.015031561255455017,0.9992245435714722,0.014134660363197327,0.9992422461509705,0.01541280560195446,0.9991681575775146,0.01412394642829895,0.9990106225013733,0.01183375809341669,0.9996681213378906,0.014982583001255989,0.9991960525512695,0.01384731661528349,0.9988492727279663,0.015278918668627739,0.9993711113929749,0.015441713854670525,0.999463677406311,0.0141814099624753,0.9991543889045715,0.014792068861424923,0.9993212223052979,0.015033463947474957,0.9994939565658569,0.014140244573354721,0.9990062713623047,0.0140058109536767,0.9995808005332947,0.013912891037762165,0.9992302656173706,0.014001441188156605,0.9992660284042358,0.014587542973458767,0.9993249177932739,0.01360977254807949,0.9991377592086792,0.0142409298568964,0.9993335008621216,0.013757986016571522,0.9991312026977539,0.01463931892067194,0.999289333820343,0.014981484040617943,0.9991559386253357,0.015443498268723488,0.9992930889129639,0.01455522608011961,0.9987695217132568,0.01594434678554535,0.9990690350532532,0.015746736899018288,0.99869704246521,0.014300847426056862,0.9992995262145996,0.017103396356105804,0.9991401433944702,0.014546896331012249,0.9993482232093811,0.01468418538570404,0.9992556571960449,0.0143676633015275,0.9991215467453003,0.015350235626101494,0.9994319677352905,0.014172006398439407,0.9996095895767212,0.015115991234779358,0.9995309114456177,0.014075602404773235,0.9990655779838562,0.013314450159668922,0.9994369149208069,0.014089790172874928,0.99933260679245,0.014655464328825474,0.9990010857582092,0.015297877602279186,0.9992879629135132,0.014734082855284214,0.9988211393356323,0.013625681400299072,0.9989720582962036,0.014346218667924404,0.9993606209754944,0.01451819110661745,0.9989171624183655,0.013900572434067726,0.9994238018989563,0.015157892368733883,0.9991429448127747,0.014038019813597202,0.9988997578620911,0.015096446499228477,0.9995296597480774,0.014868387952446938,0.9990904331207275,0.012914718128740788
3.7,26.240441720877122,25.13382869183636,1.1066130226863218,0.9993753433227539,0.014679652638733387,0.9990155100822449,0.01725282333791256,0.9994708299636841,0.015188922174274921,0.9990618228912354,0.0148719921708107,0.9993094801902771,0.013648834079504013,0.9988991618156433,0.013352498412132263,0.9992282390594482,0.01294259075075388,0.9992985725402832,0.01388924103230238,0.9992429614067078,0.015387207269668579,0.769995391368866,0.06729238480329514,0.9995115995407104,0.013698078691959381,0.9992213249206543,0.015312433242797852,0.9991428256034851,0.013830102048814297,0.9993499517440796,0.015399743802845478,0.9994737505912781,0.01329541765153408,0.9996181130409241,0.016955632716417313,0.9990773797035217,0.014983967877924442,0.9990052580833435,0.015319603495299816,0.9993829131126404,0.014914652332663536,0.9995775818824768,0.013822236098349094,0.9993305206298828,0.013759695924818516,0.9987652897834778,0.01374257355928421,0.9993797540664673,0.013722101226449013,0.9994267821311951,0.01498996838927269,0.9993352293968201,0.013787928968667984,0.9988976120948792,0.014343934133648872,0.9995096325874329,0.01473819650709629,0.9995070695877075,0.0167489442974329,0.9992730617523193,0.014648240059614182,0.9993811249732971,0.013728149235248566,0.9995781779289246,0.013935286551713943,0.9990705847740173,0.012569431215524673,0.9990403056144714,0.013896435499191284,0.9994643330574036,0.013704830780625343,0.9996974468231201,0.013256680220365524,0.9992151260375977,0.014635863713920116,0.9993993043899536,0.01612197421491146,0.9992334842681885,0.016765587031841278,0.9993844628334045,0.013685537502169609,0.9993171691894531,0.013223768211901188,0.9995163679122925,0.015330431051552296,0.9994115233421326,0.014004265889525414,0.9990214705467224,0.01437280885875225,0.9981514811515808,0.014755748212337494,0.9993638396263123,0.015160798095166683,0.9993019700050354,0.013837394304573536,0.9993200302124023,0.014368260279297829,0.9993323683738708,0.014153975993394852,0.9992468953132629,0.013555563054978848,0.9992932677268982,0.015976136550307274,0.9987102746963501,0.013223142363131046,0.9994299411773682,0.01490122638642788,0.9991682171821594,0.012816502712666988,0.999473512172699,0.014568009413778782,0.9993272423744202,0.015572811476886272,0.9992405772209167,0.014068808406591415,0.9985103607177734,0.013604818843305111,0.9989457726478577,0.01552408654242754,0.9994712471961975,0.013765642419457436,0.9989528059959412,0.015257518738508224,0.9993873238563538,0.01403570082038641,0.9995306730270386,0.015061868354678154,0.9993348121643066,0.015319541096687317,0.9991781115531921,0.0134115656837821
3.8,26.264841905280726,25.191845300101015,1.0729966004138816,0.999068021774292,0.014512671157717705,0.9995506405830383,0.013982913456857204,0.9991724491119385,0.015064640901982784,0.9993799328804016,0.01359617244452238,0.9993256330490112,0.01384912058711052,0.9994897246360779,0.01360487099736929,0.9992772936820984,0.013309668749570847,0.77855384349823,0.0663817822933197,0.9995094537734985,0.013800372369587421,0.9994007349014282,0.012432748451828957,0.9997058510780334,0.014524050056934357,0.9992232322692871,0.01316122617572546,0.999282956123352,0.013629022054374218,0.9994865655899048,0.011815813370049,0.9994693398475647,0.013469435274600983,0.999190092086792,0.013285304419696331,0.9995124340057373,0.014499025419354439,0.9994036555290222,0.014586016535758972,0.9995453357696533,0.014283386059105396,0.9994472861289978,0.013229453936219215,0.999263346195221,0.013363300822675228,0.9993994235992432,0.013536319136619568,0.9984883069992065,0.014967326074838638,0.9994493126869202,0.012691372074186802,0.9995884299278259,0.014458781108260155,0.9989340305328369,0.01367415115237236,0.9994071125984192,0.013463282026350498,0.9992303252220154,0.013068052008748055,0.9990320205688477,0.01341500598937273,0.9991986155509949,0.014399231411516666,0.9993830919265747,0.012777872383594513,0.9996710419654846,0.013804066926240921,0.9992497563362122,0.012002013623714447,0.9991739988327026,0.014174108393490314,0.9993758201599121,0.013500082306563854,0.998416006565094,0.014509595930576324,0.9992256760597229,0.01197985652834177,0.9994327425956726,0.014595125801861286,0.9987072348594666,0.015294373966753483,0.9993649125099182,0.014673926867544651,0.9996150135993958,0.0131986103951931,0.9995895624160767,0.01306566596031189,0.9996217489242554,0.013727604411542416,0.9992899894714355,0.014565782621502876,0.9993987679481506,0.014420343562960625,0.999383270740509,0.01373086404055357,0.999253511428833,0.013894583098590374,0.999285101890564,0.014632669277489185,0.9992927312850952,0.013919803313910961,0.9994667172431946,0.013325706124305725,0.9994510412216187,0.013000345788896084,0.9993870854377747,0.013615625910460949,0.999516487121582,0.013431757688522339,0.9995249509811401,0.014599394053220749,0.9993577599525452,0.012405321933329105,0.999528169631958,0.012717138975858688,0.9990931153297424,0.013589421287178993,0.9995112419128418,0.013593503274023533,0.9993309378623962,0.012675539590418339,0.9993426203727722,0.013160216622054577,0.9991737604141235,0.014181623235344887,0.9992972612380981,0.012916631996631622,0.99940425157547,0.012405798770487309,0.9990792870521545,0.013544157147407532
3.9,26.28912983062679,25.281589190843007,1.007540637559728,0.9996135234832764,0.01261500921100378,0.9993690848350525,0.014517400413751602,0.9996445178985596,0.014357243664562702,0.9996307492256165,0.012483364902436733,0.9993963837623596,0.013785709626972675,0.9995167255401611,0.015765858814120293,0.9994568824768066,0.013811802491545677,0.9992210865020752,0.013822103850543499,0.9991134405136108,0.013114004395902157,0.9996610283851624,0.013231804594397545,0.9994836449623108,0.01262535061687231,0.9994449615478516,0.012769755907356739,0.9995926022529602,0.01314803771674633,0.9995066523551941,0.01297019049525261,0.9996345639228821,0.013879907317459583,0.9992009401321411,0.01329072192311287,0.9995279908180237,0.013077259995043278,0.9994893074035645,0.012880915775895119,0.9995091557502747,0.01305374875664711,0.9995185732841492,0.012669158168137074,0.9995532035827637,0.013632791116833687,0.9995558857917786,0.013729332946240902,0.9994134902954102,0.013220790773630142,0.9996035099029541,0.013612640090286732,0.9995583295822144,0.013623292557895184,0.9995514154434204,0.01254224218428135,0.9995214343070984,0.012994679622352123,0.9992772936820984,0.013882127590477467,0.7913868427276611,0.06392677873373032,0.9994117021560669,0.01169268973171711,0.999586284160614,0.013308856636285782,0.9993690252304077,0.013529190793633461,0.9996224641799927,0.012534753419458866,0.9994675517082214,0.013697518967092037,0.9992892742156982,0.014322180300951004,0.9994698762893677,0.01239896658807993,0.9994634389877319,0.014425087720155716,0.9994731545448303,0.01290692575275898,0.999492883682251,0.013606254942715168,0.9994881749153137,0.01471074391156435,0.9995225071907043,0.013417215086519718,0.9994191527366638,0.01189184095710516,0.9994030594825745,0.011727890931069851,0.9994796514511108,0.014192627742886543,0.9993289113044739,0.013374063186347485,0.9997864365577698,0.014077549800276756,0.9993212223052979,0.014555833302438259,0.999358057975769,0.012625531293451786,0.9994087219238281,0.013221463188529015,0.999351441860199,0.013396147638559341,0.9994326829910278,0.013390208594501019,0.9994540810585022,0.012654189020395279,0.9995635151863098,0.01318218745291233,0.999616801738739,0.012343321926891804,0.999372661113739,0.014137230813503265,0.9995207786560059,0.012417175807058811,0.9993090629577637,0.013322153128683567,0.9994521737098694,0.012507935985922813,0.9995104670524597,0.013268774375319481,0.9995244741439819,0.0124022476375103,0.999525785446167,0.012880817987024784,0.9994779825210571,0.014162451028823853,0.9995880126953125,0.0127067556604743,0.9994953870773315,0.014285869896411896
