beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std,sigma-5_mean,sigma-5_std,sigma-6_mean,sigma-6_std,sigma-7_mean,sigma-7_std,sigma-8_mean,sigma-8_std,sigma-9_mean,sigma-9_std,sigma-10_mean,sigma-10_std,sigma-11_mean,sigma-11_std,sigma-12_mean,sigma-12_std,sigma-13_mean,sigma-13_std,sigma-14_mean,sigma-14_std,sigma-15_mean,sigma-15_std,sigma-16_mean,sigma-16_std,sigma-17_mean,sigma-17_std,sigma-18_mean,sigma-18_std,sigma-19_mean,sigma-19_std,sigma-20_mean,sigma-20_std,sigma-21_mean,sigma-21_std,sigma-22_mean,sigma-22_std,sigma-23_mean,sigma-23_std,sigma-24_mean,sigma-24_std,sigma-25_mean,sigma-25_std,sigma-26_mean,sigma-26_std,sigma-27_mean,sigma-27_std,sigma-28_mean,sigma-28_std,sigma-29_mean,sigma-29_std,sigma-30_mean,sigma-30_std,sigma-31_mean,sigma-31_std,sigma-32_mean,sigma-32_std,sigma-33_mean,sigma-33_std,sigma-34_mean,sigma-34_std,sigma-35_mean,sigma-35_std,sigma-36_mean,sigma-36_std,sigma-37_mean,sigma-37_std,sigma-38_mean,sigma-38_std,sigma-39_mean,sigma-39_std,sigma-40_mean,sigma-40_std,sigma-41_mean,sigma-41_std,sigma-42_mean,sigma-42_std,sigma-43_mean,sigma-43_std,sigma-44_mean,sigma-44_std,sigma-45_mean,sigma-45_std,sigma-46_mean,sigma-46_std,sigma-47_mean,sigma-47_std,sigma-48_mean,sigma-48_std,sigma-49_mean,sigma-49_std,sigma-50_mean,sigma-50_std,sigma-51_mean,sigma-51_std,sigma-52_mean,sigma-52_std,sigma-53_mean,sigma-53_std,sigma-54_mean,sigma-54_std,sigma-55_mean,sigma-55_std,sigma-56_mean,sigma-56_std,sigma-57_mean,sigma-57_std,sigma-58_mean,sigma-58_std,sigma-59_mean,sigma-59_std,sigma-60_mean,sigma-60_std,sigma-61_mean,sigma-61_std,sigma-62_mean,sigma-62_std,sigma-63_mean,sigma-63_std
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,10.278338050028918,5.890154122289564,4.388183946294317,0.2269655466079712,0.03362336382269859,0.992137610912323,0.006933898665010929,0.9943859577178955,0.005721341352909803,0.9916418790817261,0.007141706068068743,0.9955969452857971,0.005207964684814215,0.9954871535301208,0.005371528211981058,0.5090057849884033,0.06480730324983597,0.5414254665374756,0.0874527096748352,0.9528760313987732,0.0202570091933012,0.7973567843437195,0.06264413893222809,0.9898971319198608,0.0073928432539105415,0.41922271251678467,0.05736872926354408,0.9927701950073242,0.006560785695910454,0.2631729543209076,0.030266450718045235,0.9936199188232422,0.006352931261062622,0.9954742193222046,0.005377660505473614,0.9954022765159607,0.005297573283314705,0.2673860192298889,0.0529194101691246,0.9523871541023254,0.022163482382893562,0.49286067485809326,0.07232730090618134,0.3340176045894623,0.0898636057972908,0.9878003001213074,0.008768605999648571,0.6887981295585632,0.06290218979120255,0.9939439296722412,0.006153347436338663,0.571521520614624,0.07108208537101746,0.5751513838768005,0.08658430725336075,0.9951768517494202,0.005204868968576193,0.4326484501361847,0.08416209369897842,0.99126797914505,0.007327493280172348,0.8172073364257812,0.07046408951282501,0.9542729258537292,0.02124178037047386,0.25341930985450745,0.03748079389333725,0.2462911307811737,0.04480815678834915,0.19128631055355072,0.03259645402431488,0.5693047046661377,0.10309721529483795,0.491046279668808,0.07269223034381866,0.3424986004829407,0.03092055208981037,0.6332513093948364,0.08617342263460159,0.2901022136211395,0.06520546227693558,0.30794599652290344,0.05987672135233879,0.9931962490081787,0.006677687633782625,0.9950883388519287,0.005667190998792648,0.9924628138542175,0.006791203282773495,0.9952009916305542,0.005321257282048464,0.9943257570266724,0.005793392658233643,0.8137502670288086,0.0600641593337059,0.34423330426216125,0.03522247076034546,0.9917052984237671,0.007309527136385441,0.9785929322242737,0.012700365856289864,0.34172019362449646,0.06102981045842171,0.99349045753479,0.006121958140283823,0.39674124121665955,0.0717143788933754,0.9885977506637573,0.008196947164833546,0.9949832558631897,0.005468910094350576,0.9834602475166321,0.010504301637411118,0.33296898007392883,0.05720902979373932,0.624382495880127,0.09451502561569214,0.5411080121994019,0.09488540887832642,0.9939255714416504,0.006033561658114195,0.21054154634475708,0.037369370460510254,0.5805834531784058,0.08826711028814316,0.5230188369750977,0.06504949927330017,0.9951289892196655,0.00561444042250514,0.991577684879303,0.007170042954385281
0.3,13.593978365347075,8.273765847627034,5.320212513144845,0.2820659875869751,0.040553461760282516,0.9873839020729065,0.009882908314466476,0.9945189952850342,0.006228489335626364,0.7021063566207886,0.0743478536605835,0.9931584596633911,0.007237148936837912,0.835316002368927,0.06544865667819977,0.6311873197555542,0.08128692954778671,0.9947662353515625,0.005520464386790991,0.9935460090637207,0.007335673086345196,0.9837090969085693,0.011495772749185562,0.9839815497398376,0.01132559310644865,0.9951144456863403,0.00617375411093235,0.9957093596458435,0.005423314403742552,0.9951868653297424,0.006009460426867008,0.9939380288124084,0.006136544980108738,0.3141833543777466,0.04070147126913071,0.9942721128463745,0.006678050849586725,0.601242184638977,0.08020005375146866,0.9944450259208679,0.00629531592130661,0.9944553375244141,0.006134181283414364,0.4693540036678314,0.06544283777475357,0.9927040934562683,0.007090799044817686,0.9948506355285645,0.005728712305426598,0.9927775859832764,0.007084210403263569,0.989818811416626,0.008352614007890224,0.6809306740760803,0.07902771979570389,0.8557257056236267,0.05473257973790169,0.43462297320365906,0.06703619658946991,0.991076648235321,0.00790153257548809,0.9954401850700378,0.005750144831836224,0.9955188632011414,0.005828032270073891,0.9925504922866821,0.006994312163442373,0.9867032170295715,0.010094982571899891,0.9949600696563721,0.0062175532802939415,0.6151558756828308,0.06501724570989609,0.990079402923584,0.00784706324338913,0.9946269392967224,0.005969632882624865,0.9956274628639221,0.005681837908923626,0.43714386224746704,0.06591314822435379,0.22572840750217438,0.04082684963941574,0.9954579472541809,0.005721446126699448,0.9948503971099854,0.005986045580357313,0.4240724742412567,0.06653369218111038,0.994293749332428,0.006436911877244711,0.9954297542572021,0.005604877136647701,0.4894387423992157,0.09243691712617874,0.9943507313728333,0.006202157121151686,0.32887542247772217,0.05354422330856323,0.9897778034210205,0.008760669268667698,0.37582167983055115,0.05834883823990822,0.5690187215805054,0.08041456341743469,0.9804559350013733,0.013101011514663696,0.9954599738121033,0.005819239187985659,0.26806703209877014,0.03795485571026802,0.995500385761261,0.0056252870708703995,0.30097272992134094,0.05154602229595184,0.8605712056159973,0.05050491541624069,0.9951590895652771,0.0058221290819346905,0.6453964710235596,0.07941890507936478,0.9937791228294373,0.006689324509352446,0.4042342007160187,0.07510803639888763,0.9944360852241516,0.006419955287128687,0.9925159215927124,0.007337605115026236,0.8348133563995361,0.06095714122056961
0.44999999999999996,15.8896497724407,10.168947360154663,5.720702398052094,0.9935473203659058,0.009123766794800758,0.546364963054657,0.07342495769262314,0.9951959848403931,0.007977597415447235,0.6268634796142578,0.06885890662670135,0.9956724643707275,0.00810197927057743,0.3643425703048706,0.054040584713220596,0.9949488043785095,0.008145967498421669,0.9940465688705444,0.008352951146662235,0.9937597513198853,0.008420730009675026,0.9838760495185852,0.013599901460111141,0.5794242024421692,0.08135460317134857,0.995416522026062,0.008258848451077938,0.9927474856376648,0.009154892526566982,0.9275282621383667,0.029127484187483788,0.9949937462806702,0.00859085749834776,0.31554365158081055,0.04413929209113121,0.9957084059715271,0.007645938079804182,0.9945402145385742,0.008339328691363335,0.9945164918899536,0.007838426157832146,0.994375467300415,0.008749854750931263,0.9950874447822571,0.008122233673930168,0.9953162670135498,0.007770407944917679,0.9936994910240173,0.009207037277519703,0.9953541159629822,0.00826761219650507,0.9947987198829651,0.008433419279754162,0.9949223399162292,0.00841070618480444,0.29922688007354736,0.06469063460826874,0.9950093626976013,0.0077980440109968185,0.995039701461792,0.008143161423504353,0.9949992895126343,0.007991939783096313,0.40749338269233704,0.05709542706608772,0.9950511455535889,0.007870949804782867,0.9950781464576721,0.008069127798080444,0.9946999549865723,0.00841011106967926,0.9945567846298218,0.008466433733701706,0.8418062329292297,0.0546552799642086,0.9502058625221252,0.024717483669519424,0.2785235345363617,0.02545701526105404,0.7018012404441833,0.06588047742843628,0.6860796213150024,0.06271522492170334,0.995810866355896,0.008181571029126644,0.9954845905303955,0.008295876905322075,0.9927127361297607,0.009718440473079681,0.44453611969947815,0.07952418923377991,0.5427175760269165,0.07127124816179276,0.9923539161682129,0.00907756108790636,0.9939565658569336,0.008997668512165546,0.9935633540153503,0.008678542450070381,0.5427718162536621,0.03419547900557518,0.6355720162391663,0.05853291600942612,0.9948583841323853,0.008388363756239414,0.9947614073753357,0.008490795269608498,0.9942600131034851,0.008488886058330536,0.9960338473320007,0.007973545230925083,0.9483166933059692,0.02753107063472271,0.5593084692955017,0.07081738114356995,0.9892346262931824,0.010165981948375702,0.9954451322555542,0.008244311437010765,0.9946503043174744,0.008379730395972729,0.9944186806678772,0.008413227275013924,0.9924420714378357,0.009596734307706356,0.9954898953437805,0.007691319566220045,0.9953009486198425,0.007761448156088591,0.34334176778793335,0.04411269724369049
0.6,17.552378434870544,11.74546814676541,5.806910293188685,0.4699850380420685,0.07233482599258423,0.9925376772880554,0.01096130907535553,0.9702359437942505,0.01776411570608616,0.9961055517196655,0.009659066796302795,0.6079785227775574,0.05190962180495262,0.995542585849762,0.00944880023598671,0.46430984139442444,0.04560594633221626,0.9910703897476196,0.011822866275906563,0.9951517581939697,0.009799926541745663,0.9943443536758423,0.010108676739037037,0.5154514908790588,0.052577774971723557,0.9926822781562805,0.010623032227158546,0.9954121708869934,0.009489232674241066,0.9942609667778015,0.010322918184101582,0.674325704574585,0.07249709963798523,0.9954250454902649,0.009807076305150986,0.9926798343658447,0.011012095026671886,0.990943431854248,0.012461766600608826,0.9917794466018677,0.011157816275954247,0.990969717502594,0.011238092556595802,0.9948157072067261,0.011091758497059345,0.9949994683265686,0.009796107187867165,0.9953479766845703,0.009111862629652023,0.3622570037841797,0.028954138979315758,0.9951698184013367,0.010154936462640762,0.9950634241104126,0.009590362198650837,0.3509121835231781,0.06506600975990295,0.6267967224121094,0.07484698295593262,0.9902421236038208,0.012356426566839218,0.9953552484512329,0.009841512888669968,0.9881795644760132,0.013226307928562164,0.9955114126205444,0.009436337277293205,0.7910765409469604,0.060420867055654526,0.9940637946128845,0.010451843030750751,0.9935995936393738,0.011191018857061863,0.3669690489768982,0.05276672914624214,0.2938370704650879,0.03575464338064194,0.9913328886032104,0.011592746712267399,0.9962174892425537,0.009316939860582352,0.4110585153102875,0.03486179560422897,0.9954259991645813,0.010021195746958256,0.9955172538757324,0.009082313627004623,0.995039165019989,0.009825966320931911,0.8903377056121826,0.04728018492460251,0.9958803653717041,0.009290226735174656,0.9958695769309998,0.009095671586692333,0.9947144389152527,0.009674867615103722,0.995846688747406,0.010058758780360222,0.9955719113349915,0.010583686642348766,0.9952701330184937,0.00940500758588314,0.9956148266792297,0.009875969029963017,0.9955268502235413,0.009696761146187782,0.7784555554389954,0.055642448365688324,0.9955276846885681,0.0094889672473073,0.9917145371437073,0.01170373149216175,0.9928188323974609,0.010419846512377262,0.995030403137207,0.010471796616911888,0.9942550659179688,0.010687028057873249,0.9943743348121643,0.010533899068832397,0.9957569241523743,0.010559041984379292,0.9949491620063782,0.010266839526593685,0.9960130453109741,0.009007880464196205,0.9950672388076782,0.009782473556697369,0.9960559010505676,0.008871079422533512
0.75,18.905146920096392,13.181909791950478,5.7232371352628855,0.9949923157691956,0.011607018299400806,0.9951808452606201,0.011474167928099632,0.9899782538414001,0.013960831798613071,0.995489239692688,0.011137405410408974,0.9917356371879578,0.012969370931386948,0.9949124455451965,0.011547829955816269,0.9959449768066406,0.01109075453132391,0.9937638640403748,0.010882595553994179,0.994471549987793,0.010576766915619373,0.9925113320350647,0.012402004562318325,0.9934035539627075,0.012266653589904308,0.9915898442268372,0.012081880122423172,0.9954924583435059,0.011558431200683117,0.9943100810050964,0.011670713312923908,0.9942625164985657,0.011108580976724625,0.9959920644760132,0.010941528715193272,0.9923864603042603,0.012041495181620121,0.9956420063972473,0.011386404745280743,0.966825544834137,0.019175980240106583,0.9709279537200928,0.021675094962120056,0.3149604797363281,0.043404992669820786,0.980869710445404,0.013003988191485405,0.9946142435073853,0.010833238251507282,0.9930729866027832,0.011816432699561119,0.9941747784614563,0.01159093901515007,0.9931025505065918,0.012590658850967884,0.9698402285575867,0.019012270495295525,0.37166649103164673,0.046988073736429214,0.991348922252655,0.012691449373960495,0.9849373698234558,0.01472433377057314,0.9959508180618286,0.01048578042536974,0.9937801957130432,0.011908567510545254,0.4294133186340332,0.04772528260946274,0.9953705072402954,0.011380575597286224,0.994316577911377,0.01230822317302227,0.6906524896621704,0.06958085298538208,0.9952797293663025,0.010362655855715275,0.37719932198524475,0.03581082075834274,0.9958087205886841,0.010930599644780159,0.9917452335357666,0.012337910942733288,0.6540802717208862,0.08670950680971146,0.9947486519813538,0.011199919506907463,0.9934411644935608,0.011760683730244637,0.984619140625,0.014311998151242733,0.9950464367866516,0.011334769427776337,0.994235634803772,0.0109229926019907,0.9952705502510071,0.011029889807105064,0.9954507350921631,0.011403706856071949,0.9961199164390564,0.010743886232376099,0.9934104681015015,0.011860229074954987,0.4572479724884033,0.03710091486573219,0.9956976175308228,0.011688494123518467,0.6909235715866089,0.06756298989057541,0.9956523180007935,0.011700710281729698,0.9957426190376282,0.011446747928857803,0.4326258599758148,0.05698219686746597,0.9938660264015198,0.011682774871587753,0.9943603277206421,0.010949055664241314,0.9953969120979309,0.011722092516720295,0.9949761629104614,0.011307905428111553,0.9958798885345459,0.010890208184719086,0.6456885933876038,0.08087962120771408,0.9949497580528259,0.011062257923185825,0.9891737103462219,0.01267370954155922
0.8999999999999999,20.030721166240635,14.368599646635401,5.662121540447797,0.9956942796707153,0.012182924896478653,0.9944924116134644,0.014276077039539814,0.9963847398757935,0.012138165533542633,0.9901167154312134,0.015874408185482025,0.7323747873306274,0.06844477355480194,0.9964973330497742,0.012718000449240208,0.9958196878433228,0.01321632880717516,0.9891498684883118,0.015775559470057487,0.9968037605285645,0.011652682907879353,0.995517909526825,0.013465679250657558,0.9946020841598511,0.013287398032844067,0.9963970184326172,0.013024123385548592,0.9966667294502258,0.01163563784211874,0.9937193989753723,0.013383054174482822,0.9965912103652954,0.012738044373691082,0.9957873225212097,0.01313620712608099,0.9969971179962158,0.012363261543214321,0.9937222003936768,0.013811472803354263,0.3494175374507904,0.03619164600968361,0.9955048561096191,0.013244176283478737,0.9962407350540161,0.012678523547947407,0.9925013184547424,0.014063204638659954,0.9968616366386414,0.012015140615403652,0.3831574618816376,0.04539991915225983,0.9967285394668579,0.011666759848594666,0.9954338073730469,0.013137315399944782,0.9958963990211487,0.012792833149433136,0.9959585666656494,0.013205255381762981,0.9958251118659973,0.012664854526519775,0.9962430596351624,0.013143360614776611,0.9914913177490234,0.014317690394818783,0.9957476854324341,0.012695865705609322,0.995919942855835,0.012168843299150467,0.8457841277122498,0.06303756684064865,0.9962194561958313,0.013328750617802143,0.6773940920829773,0.06707815080881119,0.9965508580207825,0.011988313868641853,0.9951667785644531,0.01394669245928526,0.9943873286247253,0.013945228420197964,0.4790384769439697,0.05690960958600044,0.9892767667770386,0.014171413145959377,0.9595975875854492,0.02575301006436348,0.9957778453826904,0.012306170538067818,0.48378947377204895,0.04933536425232887,0.37879306077957153,0.03194405511021614,0.9963789582252502,0.013019746169447899,0.9955723285675049,0.013437940739095211,0.9937178492546082,0.013814257457852364,0.5165873765945435,0.055190104991197586,0.9965282082557678,0.011775207705795765,0.9958292841911316,0.013142956420779228,0.9660009145736694,0.023257674649357796,0.9957797527313232,0.01256046537309885,0.9964010119438171,0.012683308683335781,0.9958074688911438,0.012680746614933014,0.9964028000831604,0.013314084149897099,0.9934446811676025,0.013868780806660652,0.9965049624443054,0.012433634139597416,0.9966325163841248,0.012425473891198635,0.9963825941085815,0.012733925133943558,0.9968559741973877,0.013040030375123024,0.9951122999191284,0.013251923024654388,0.9956007599830627,0.012875642627477646,0.9963329434394836,0.01296805776655674
1.05,20.961527531589272,15.277136990764756,5.684390548449843,0.9971192479133606,0.012967993505299091,0.996947705745697,0.014553464949131012,0.9969816207885742,0.013652528636157513,0.9970359206199646,0.014776826836168766,0.3822542428970337,0.052037402987480164,0.763493537902832,0.07156321406364441,0.9972162842750549,0.014657493680715561,0.9970449805259705,0.013289465568959713,0.9972438216209412,0.013281866908073425,0.9969620704650879,0.012668130919337273,0.9966671466827393,0.013291076757013798,0.9975253939628601,0.012344736605882645,0.9965543150901794,0.013591418974101543,0.9968757629394531,0.013948039151728153,0.996861457824707,0.013476972468197346,0.997360110282898,0.013550384901463985,0.9947090744972229,0.014808917418122292,0.9972788691520691,0.013872464187443256,0.995736300945282,0.013854721561074257,0.9961432814598083,0.015378626994788647,0.9961503744125366,0.014601907692849636,0.5108604431152344,0.07337574660778046,0.9967525005340576,0.014489012770354748,0.5436431169509888,0.05004791170358658,0.9970511794090271,0.013725128024816513,0.9966355562210083,0.013604886829853058,0.9970639944076538,0.013451473787426949,0.996086597442627,0.015348875895142555,0.9965075254440308,0.014079735614359379,0.8465220928192139,0.049851737916469574,0.9971434473991394,0.013333204202353954,0.9963877201080322,0.013617175631225109,0.9969256520271301,0.013904075138270855,0.9960781931877136,0.013264967128634453,0.9972204566001892,0.012948575429618359,0.9966787695884705,0.014102723449468613,0.9971420764923096,0.012920786626636982,0.9438508749008179,0.03495058789849281,0.9965749382972717,0.013492819853127003,0.9969779253005981,0.013694078661501408,0.9969508051872253,0.01332508958876133,0.8053693175315857,0.055302977561950684,0.9971272349357605,0.013740927912294865,0.9968223571777344,0.014301913790404797,0.9965866804122925,0.013984715566039085,0.5360202789306641,0.03595796227455139,0.9954853653907776,0.014675402082502842,0.996343731880188,0.013823512010276318,0.9972342848777771,0.013329753652215004,0.9954967498779297,0.013759740628302097,0.9970687627792358,0.013531689532101154,0.4312005937099457,0.05406131222844124,0.9962410926818848,0.014450358226895332,0.9967449307441711,0.014288323000073433,0.9967406392097473,0.013640173710882664,0.9970914125442505,0.013827234506607056,0.9969985485076904,0.014320911839604378,0.4360141158103943,0.04485150799155235,0.9948402047157288,0.01395435631275177,0.9960209727287292,0.013449111022055149,0.9964978694915771,0.014500265009701252,0.9971233606338501,0.012619474902749062,0.9955618381500244,0.01379251666367054,0.9963571429252625,0.01408488117158413
1.2,21.743385567085575,16.263060211881136,5.480325390280945,0.9963061809539795,0.015244616195559502,0.4625093936920166,0.05772737041115761,0.9956222772598267,0.01602051965892315,0.995506227016449,0.01597367227077484,0.9973889589309692,0.014940900728106499,0.9960079789161682,0.01597338728606701,0.9911632537841797,0.017170926555991173,0.9963577389717102,0.014971577562391758,0.9951398968696594,0.015864433720707893,0.9966914057731628,0.014891909435391426,0.5961031913757324,0.05423092469573021,0.9969267845153809,0.015848590061068535,0.9972649812698364,0.015424750745296478,0.9953583478927612,0.015689998865127563,0.936851978302002,0.043042317032814026,0.9971902966499329,0.015172651968896389,0.9969525933265686,0.01430061087012291,0.9953130483627319,0.015190794132649899,0.9975523948669434,0.014820165000855923,0.9954644441604614,0.016228636726737022,0.9960646033287048,0.014468146488070488,0.9959880113601685,0.014609018340706825,0.4531858265399933,0.03760756924748421,0.9964479207992554,0.01609986647963524,0.9949963688850403,0.016358796507120132,0.9973745942115784,0.014137228019535542,0.9956328272819519,0.015423981472849846,0.997181236743927,0.01493586041033268,0.9964820146560669,0.014814016409218311,0.996936559677124,0.014073320664465427,0.9965115189552307,0.01585235446691513,0.9969545006752014,0.015074438415467739,0.9973838329315186,0.015140537172555923,0.9941926598548889,0.01538684032857418,0.9971561431884766,0.014759451150894165,0.9961769580841064,0.016706017777323723,0.9971091151237488,0.014658337458968163,0.5469332933425903,0.05487647280097008,0.9962198138237,0.015298266895115376,0.9967442750930786,0.015532937832176685,0.9949050545692444,0.015749413520097733,0.9973462820053101,0.014333158731460571,0.9966182112693787,0.015890974551439285,0.9973888397216797,0.015036072582006454,0.995961606502533,0.015502186492085457,0.7721213698387146,0.05338313430547714,0.9972699880599976,0.014913421124219894,0.9962921738624573,0.01527854148298502,0.9964300394058228,0.015603515319526196,0.9972116351127625,0.015207484364509583,0.9956182837486267,0.01615474373102188,0.9969729781150818,0.015213842503726482,0.9967477321624756,0.01566140167415142,0.9965056777000427,0.015627270564436913,0.9970180988311768,0.01436600461602211,0.9970043897628784,0.01604624278843403,0.3970158100128174,0.046379610896110535,0.9955157041549683,0.015059244818985462,0.9974117875099182,0.014213195070624352,0.993873119354248,0.016582543030381203,0.9971776008605957,0.015340161509811878,0.9964325428009033,0.015467967838048935,0.6262038350105286,0.06179582327604294,0.9976949095726013,0.01459706574678421
1.3499999999999999,22.431332181511657,17.149896724391848,5.281435453561324,0.9969783425331116,0.01909182220697403,0.9978899955749512,0.015803782269358635,0.9963950514793396,0.01671893335878849,0.9974240660667419,0.016403093934059143,0.623971700668335,0.04741070047020912,0.9974613785743713,0.018243204802274704,0.9966235160827637,0.018157759681344032,0.9974381923675537,0.01823715679347515,0.9957076907157898,0.016457147896289825,0.9974266886711121,0.01762349344789982,0.9954111576080322,0.01805911213159561,0.9974620938301086,0.016394561156630516,0.9963981509208679,0.01627235859632492,0.9946459531784058,0.02121025323867798,0.997463047504425,0.01722472533583641,0.997024416923523,0.017467482015490532,0.9970802068710327,0.017580531537532806,0.9945210218429565,0.018443619832396507,0.9974884986877441,0.01759994402527809,0.9939703345298767,0.01839335821568966,0.9898929595947266,0.020270338281989098,0.9973360300064087,0.018165376037359238,0.997420072555542,0.015587380155920982,0.9974252581596375,0.017005860805511475,0.9975999593734741,0.017443379387259483,0.9968184232711792,0.017300793901085854,0.5844094157218933,0.07947719842195511,0.9951383471488953,0.017418015748262405,0.6682429909706116,0.060965485870838165,0.9910940527915955,0.018040647730231285,0.9967290759086609,0.01735329069197178,0.9951767325401306,0.018625611439347267,0.9940685033798218,0.017632093280553818,0.9949396848678589,0.018215041607618332,0.9956037998199463,0.0171564482152462,0.9961234927177429,0.017193986102938652,0.9940415620803833,0.01758113130927086,0.9969733357429504,0.016473038122057915,0.41117435693740845,0.054796766489744186,0.9974406957626343,0.015696246176958084,0.9975271224975586,0.017984488978981972,0.9966539740562439,0.016435230150818825,0.9968959093093872,0.016907937824726105,0.9921401739120483,0.019278421998023987,0.9969046711921692,0.017200278118252754,0.995864987373352,0.017474254593253136,0.9973069429397583,0.016416262835264206,0.9970235824584961,0.016342351213097572,0.5075489282608032,0.05032982677221298,0.9955377578735352,0.016652265563607216,0.997414231300354,0.016551287844777107,0.4771442115306854,0.04230819642543793,0.9952290654182434,0.016900204122066498,0.9963976144790649,0.01605810970067978,0.9956579804420471,0.01732724718749523,0.9947918653488159,0.016769295558333397,0.9966700673103333,0.016790788620710373,0.9959149360656738,0.016969991847872734,0.9968448281288147,0.016273558139801025,0.9973448514938354,0.016179243102669716,0.9974362254142761,0.018171705305576324,0.9975749850273132,0.016240593045949936,0.9949774146080017,0.018327191472053528,0.9961585998535156,0.017738953232765198
