beta,total_loss,rec_loss,kl_loss,enc_norm,dec_norm,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std
0,0.017144596204161644,0.017144596204161644,0.0,6.033141613006592,0.9767298102378845,0.18928691744804382,0.013202638365328312,0.1476036161184311,0.010159756056964397,0.1594734787940979,0.01103141438215971,0.2911607027053833,0.020279312506318092,0.20663143694400787,0.013977061957120895
1,7.095702648162842,2.318362236022949,4.777340412139893,0.7217699289321899,6.49633264541626,0.26336169242858887,0.001737523009069264,0.5036224722862244,0.003973211161792278,0.891236424446106,0.006445533130317926,0.2753104865550995,0.0033839016687124968,0.2629024088382721,0.0014397678896784782
2,11.110882759094238,4.423113822937012,6.687768936157227,0.5623113512992859,6.195212364196777,0.35747700929641724,0.005637162830680609,0.3575096130371094,0.00407183775678277,0.45046383142471313,0.004547082353383303,0.622239351272583,0.006776643916964531,0.9999613165855408,3.0295143005787395e-05
3,14.058784484863281,6.685060977935791,7.373723983764648,0.4843933880329132,6.025708198547363,0.9999449253082275,0.00024063943419605494,0.5907301306724548,0.0032710125669837,0.8650977611541748,0.003820091253146529,0.42976251244544983,0.006070495117455721,0.394162118434906,0.002801148220896721
4,15.789119720458984,8.31047534942627,7.478644847869873,0.38851070404052734,5.70940637588501,0.46447235345840454,0.004204839933663607,0.7104699015617371,0.004665778484195471,0.9990872740745544,0.000606198504101485,0.4679298400878906,0.004433086607605219,0.9927997589111328,0.0030015376396477222
5,17.591297149658203,9.948264122009277,7.643033027648926,0.35464534163475037,5.457107067108154,0.9999114871025085,0.0005441007670015097,0.493441104888916,0.005582145415246487,0.5538424253463745,0.0036542846355587244,0.9999682903289795,0.00010976997873513028,0.7950693964958191,0.003681645728647709
6,19.05134391784668,11.447720527648926,7.603623390197754,0.3246630132198334,5.161513805389404,0.9999819397926331,9.178273467114195e-05,0.8693503141403198,0.0033435113728046417,0.5991341471672058,0.00377849442884326,0.5472302436828613,0.005563539918512106,0.9999539256095886,0.00011172274389537051
7,20.205509185791016,13.008499145507812,7.197010517120361,0.28698310256004333,4.8603034019470215,0.9999653100967407,5.818378849653527e-05,0.6120256185531616,0.0032508247531950474,0.9999610781669617,5.079738184576854e-05,0.9401423931121826,0.0028336909599602222,0.6213462948799133,0.006101526785641909
8,20.876445770263672,14.205694198608398,6.67075252532959,0.2484632432460785,4.588709354400635,0.6117127537727356,0.005240132566541433,0.7168401479721069,0.004260015673935413,0.9998164772987366,0.0001679046981735155,0.9994735717773438,0.001135334954597056,0.9981638789176941,0.001238517346791923
9,21.635631561279297,15.316810607910156,6.318820953369141,0.2319180965423584,4.349461078643799,0.9999458193778992,0.00013857132580596954,0.9999770522117615,0.00015105311467777938,0.6536054611206055,0.0044359201565384865,0.7516400814056396,0.007862246595323086,0.9999734163284302,0.00012875176616944373
10,21.847763061523438,15.821846961975098,6.02591609954834,0.21872800588607788,4.124887466430664,0.9999340176582336,0.0003910186351276934,1.000003695487976,0.00013601114915218204,0.8022412657737732,0.008056781254708767,0.9999879002571106,4.9910177040146664e-05,0.6821429133415222,0.005326383747160435
11,22.577241897583008,17.254016876220703,5.323225021362305,0.1991523802280426,3.790048599243164,0.9948388338088989,0.0009711303282529116,0.8659626841545105,0.008334673941135406,0.9999349117279053,0.00014137204561848193,0.9995623826980591,0.0003204388194717467,0.7151852250099182,0.011563489213585854
12,23.6357421875,18.572776794433594,5.062964916229248,0.19003042578697205,3.5797438621520996,0.8606985807418823,0.002803117735311389,0.9998776912689209,0.0005317699396982789,0.76335209608078,0.004052430856972933,0.9997972846031189,0.00017704970377963036,0.9999856948852539,8.017633081180975e-05
13,24.15883445739746,19.726776123046875,4.432058334350586,0.16968314349651337,3.296848773956299,1.0000113248825073,0.0002864039852283895,0.7747496366500854,0.006610814016312361,1.0000083446502686,0.00028581175138242543,0.917576253414154,0.005079920869320631,0.9999827742576599,8.774190064286813e-05
14,24.15205955505371,20.614727020263672,3.53733229637146,0.145000159740448,2.9172117710113525,0.9997074604034424,0.00025112382718361914,0.9830562472343445,0.0023497161455452442,0.999515950679779,0.0006353281205520034,0.9814828634262085,0.0032605763990432024,0.8078734874725342,0.005399932153522968
15,24.090482711791992,21.243968963623047,2.846513032913208,0.12346196919679642,2.597412586212158,0.999998927116394,8.034928032429889e-05,0.9920796155929565,0.0012440986465662718,0.9994633197784424,0.0006088646478019655,0.834463357925415,0.003471971256658435,0.9997149705886841,0.00020746140216942877
16,24.676570892333984,22.804466247558594,1.8721054792404175,0.10087964683771133,2.0097274780273438,0.9913914799690247,0.002814933657646179,0.9098487496376038,0.0040665254928171635,0.999459981918335,0.0007461145287379622,0.9967824816703796,0.0014871832681819797,0.9937804937362671,0.002056518103927374
17,24.604970932006836,22.58517837524414,2.019792318344116,0.09903130680322647,2.13478684425354,0.886427104473114,0.0033756878692656755,0.999990701675415,0.00011198068386875093,0.9997486472129822,0.0010652159107849002,0.9999831318855286,5.223669722909108e-05,1.000111699104309,0.0003418372361920774
18,25.12847137451172,23.77202796936035,1.356443166732788,0.08133798837661743,1.6806747913360596,0.9988634586334229,0.0013757615815848112,0.9942626953125,0.000905299442820251,0.9358767867088318,0.005905906204134226,0.9992950558662415,0.0004836298176087439,0.9998413920402527,0.0003866198821924627
19,24.692731857299805,23.56539535522461,1.127336859703064,0.07204274088144302,1.5661275386810303,0.9997454285621643,0.0005518157850019634,0.999854326248169,0.0004933761665597558,0.9999582767486572,0.00019759258429985493,0.9415242075920105,0.006176897324621677,0.9998825788497925,0.00017870990268420428
