beta,total_loss,rec_loss,kl_loss,enc_norm,dec_norm,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std
0,1.526250847860844e-05,1.526250847860844e-05,0.0,6.484751423820853,1.2500127796083689,8.573764353059232e-05,7.866453415772412e-06,6.779877003282309e-05,5.557409622269915e-06,6.567131640622392e-05,5.967259312456008e-06,7.196744991233572e-05,4.467931830731686e-06,7.15980859240517e-05,1.0759225006040651e-05
1,6.996551027521491,2.4728212053887546,4.523729835636914,1.314413241110742,5.3507829662412405,0.318025678396225,0.004594405181705952,0.4450031816959381,0.005432797130197287,0.5733177661895752,0.009343889541924,0.4161680042743683,0.008944905363023281,0.3217604160308838,0.0044825938530266285
2,10.669624008238316,5.097535250708461,5.572088750079274,1.1404580008238554,4.86154206097126,0.5810521841049194,0.009601911529898643,0.4780608117580414,0.007187280338257551,0.42867711186408997,0.008306561037898064,0.6330807209014893,0.011484288610517979,0.8100236058235168,0.01509087160229683
3,12.848285768181086,7.501146687194705,5.34713907726109,0.944106562063098,4.317929664626718,0.9962681531906128,0.0054922825656831264,0.5288957357406616,0.01045577134937048,0.748786449432373,0.009652821347117424,0.7395133972167969,0.011549982242286205,0.58063143491745,0.014673992991447449
4,14.416968509554863,9.566721424460411,4.85024708788842,0.7996413435321301,3.853938494808972,0.6667977571487427,0.011828946880996227,0.8214190006256104,0.01147619727998972,0.612334668636322,0.012501513585448265,0.999578058719635,0.002951290225610137,0.8911756873130798,0.01284217368811369
5,15.311386864632368,11.509501785039902,3.801885019056499,0.6199451580177993,3.261957962065935,0.6779807806015015,0.009077335707843304,0.9240030646324158,0.008384732529520988,0.993857204914093,0.006049058400094509,0.9997342824935913,0.0018990548560395837,0.7502458095550537,0.00959772989153862
6,15.932853927835822,12.93760828487575,2.9952456140890718,0.4945425019832328,2.7798889707773924,0.8228260278701782,0.008984824642539024,0.9981002807617188,0.003736624028533697,0.996947169303894,0.005028279032558203,0.9979192614555359,0.004054318182170391,0.744935154914856,0.010358116589486599
7,16.372343000024557,13.944605980068445,2.427736990619451,0.4198053845902905,2.423301641829312,0.8949193954467773,0.012209214270114899,0.9997596144676208,0.002073688432574272,0.9996451735496521,0.0031924154609441757,0.999815821647644,0.002914111828431487,0.7950890064239502,0.013483291491866112
8,16.648608971387148,14.959901761263609,1.6887071831151843,0.33307915565092117,1.9524681139737368,0.999034583568573,0.003592528635635972,0.9995514750480652,0.0032015445176512003,0.9990037679672241,0.00319095840677619,0.85420823097229,0.00816044770181179,0.9449925422668457,0.009142273105680943
9,16.652062982320786,15.796041697263718,0.85602124966681,0.2217423607944511,1.3781324685551226,0.9951768517494202,0.005196578335016966,0.9999145269393921,0.0027176823932677507,0.9998067617416382,0.0012558226007968187,0.9160328507423401,0.010892605409026146,0.9989411234855652,0.004223969299346209
10,16.816234946250916,16.404140923172235,0.41209402738604695,0.14934124099090695,0.9243892321828753,0.9981796145439148,0.0059880162589251995,0.9997648000717163,0.003153096651658416,0.9997013211250305,0.0018288022838532925,0.9608188271522522,0.008816086687147617,0.9996433854103088,0.0025798059068620205
11,16.82987029105425,16.741668101400137,0.08820223668590188,0.06798987806541845,0.43311115191318095,0.998997688293457,0.003430276410654187,0.999519407749176,0.003238822566345334,0.9942929148674011,0.005138459615409374,0.9996151924133301,0.004022509325295687,0.9996548891067505,0.002801354741677642
12,16.844488445669413,16.832072883844376,0.012415536912158132,0.024352108710445464,0.16835283307591453,0.9996155500411987,0.0023228542413562536,0.9995039701461792,0.0033856721129268408,0.9998523592948914,0.001980263739824295,0.9998883605003357,0.002311356831341982,0.999889075756073,0.0020819224882870913
13,16.84569726511836,16.830294493585825,0.015402764722239226,0.026912223373074085,0.2014423461514525,0.9999682307243347,0.0010997613426297903,0.9999128580093384,0.0013511114520952106,0.9990359544754028,0.0036930579226464033,0.9995308518409729,0.0028280753176659346,0.999980092048645,0.0023707919754087925
14,16.838322825729847,16.82655143737793,0.01177138090133667,0.022861116893182043,0.1852173344232142,1.0000532865524292,0.0024300632067024708,0.9996846318244934,0.002124970778822899,0.9996228218078613,0.0025346544571220875,1.0000133514404297,0.002302265726029873,0.9997166991233826,0.0025327373296022415
15,16.832422498613596,16.821690686047077,0.010731793299783021,0.020526564308966044,0.17769088520435616,0.999826967716217,0.001790554029867053,0.9997318387031555,0.003258846467360854,0.9999809861183167,0.0025900756008923054,0.9999737739562988,0.0011393881868571043,1.000024437904358,0.0019351461669430137
16,16.845384806394577,16.841163646429777,0.0042211394757032394,0.012811967415473191,0.11914220091421157,0.9999017119407654,0.0007795562851242721,1.0000648498535156,0.0026166809257119894,0.999879002571106,0.0014929556054994464,0.9998971223831177,0.0013346426421776414,0.9998503923416138,0.001932786195538938
17,16.851220473647118,16.846472915261984,0.004747547383885831,0.013091826087475056,0.13321925746276975,0.999880850315094,0.002260155277326703,0.9997870326042175,0.0018396734958514571,0.9999025464057922,0.0010205055586993694,0.9998959302902222,0.0016009684186428785,0.999828040599823,0.0017957049421966076
18,16.847436007112265,16.844598554074764,0.0028374450048431754,0.009758907115610782,0.10626121400855482,1.0000567436218262,0.001920155598782003,0.9999122023582458,0.0009835368255153298,0.9998878836631775,0.0012979551684111357,0.9997571110725403,0.0018342701951041818,0.9999614953994751,0.0013201666297391057
19,16.83790260180831,16.834836315363646,0.0030663114739581943,0.009726070562464884,0.10629064289969392,0.9999907612800598,0.0014479908859357238,1.0000258684158325,0.0020435324404388666,0.9999296069145203,0.0008937904494814575,0.9999150037765503,0.001799054560251534,0.9999741315841675,0.0014417533529922366
20,16.849024049937725,16.84652203321457,0.002502014394849539,0.009784374244190985,0.11363494858960621,0.9999447464942932,0.001397789572365582,0.9998914003372192,0.0015375721268355846,0.9998853206634521,0.0011654915288090706,0.9999228119850159,0.001714465324766934,0.9999385476112366,0.0009776146616786718
