beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std
0,0.8559596622362733,0.8559596622362733,0.0,1.5319136537073064e-06,1.5896889635769185e-06,3.060268863919191e-05,2.42665882979054e-05,2.5360177460242994e-06,3.809438112511998e-06,3.951954113290412e-06,3.3005474051606143e-06,2.443783887429163e-05,3.112180274911225e-05
1,7.638892661780119,3.701955195516348,3.936937470920384,0.39270830154418945,0.008374134078621864,0.26862138509750366,0.0062445648945868015,0.4827621877193451,0.006824743002653122,0.999420166015625,0.002361312275752425,0.3820790648460388,0.022038564085960388
2,11.21625430881977,6.893925536423922,4.322328793816268,0.9995378851890564,0.0018083218019455671,0.3813233971595764,0.009468729607760906,0.5492264032363892,0.010978166945278645,0.9995543360710144,0.0011735891457647085,0.5558817386627197,0.011744223535060883
3,13.04163907840848,8.399637259542942,4.642001822590828,0.9993671178817749,0.002498471178114414,0.9995999932289124,0.0008876945357769728,0.6608828902244568,0.01014160830527544,0.6922385692596436,0.008502954617142677,0.46766397356987,0.007819872349500656
4,14.612844932824373,11.007267417386174,3.6055775191634893,0.5369669198989868,0.007268483750522137,0.9994983673095703,0.001773287309333682,0.9998478293418884,0.0009539234451949596,0.7588862776756287,0.016994496807456017,0.999770998954773,0.0009345602593384683
5,15.27955974638462,11.949866006150842,3.3296937476843596,0.9997325539588928,0.0007923441589809954,0.9998825788497925,0.0009536338038742542,0.8527266383171082,0.007679167203605175,0.9997603297233582,0.0008884429698809981,0.6054931879043579,0.010894964449107647
6,15.85497047379613,13.420133840292692,2.434836649335921,0.6649764776229858,0.005158924497663975,0.9997299909591675,0.0012863781303167343,0.9997002482414246,0.0014296345179900527,0.9996718168258667,0.0008584376191720366,0.99990314245224,0.000607373658567667
7,16.655956637114286,14.808456867933273,1.8474997291341424,1.0000920295715332,0.061741989105939865,0.7838564515113831,0.0397629514336586,0.996120035648346,0.06270943582057953,0.9979089498519897,0.061507925391197205,0.9963324069976807,0.07023479789495468
8,16.70348110795021,14.514797534793615,2.1886835624463856,0.9999129176139832,0.0005515849916264415,1.0000756978988647,0.0008413115865550935,0.9998272657394409,0.0005781694198958576,0.9999127984046936,0.0004055985191371292,0.7657744288444519,0.002631251933053136
9,16.77473669871688,14.897715095430613,1.8770215681288391,0.9998221397399902,0.0007764314068481326,0.9993889927864075,0.0010191499022766948,0.9998143315315247,0.0012979076709598303,0.9998638033866882,0.0003690553712658584,0.8107455372810364,0.0030015024822205305
10,17.081200912594795,15.460703007876873,1.6204979396425188,0.9995768070220947,0.001094020321033895,0.9998005628585815,0.0010925556998699903,0.9999345541000366,0.0007334348629228771,0.8538196682929993,0.0026226830668747425,0.9993806481361389,0.0014238330768421292
11,17.160782501101494,15.926584601402283,1.2341979074990377,0.9999457001686096,0.0005203579785302281,0.9999459385871887,0.0010252351639792323,0.9997583627700806,0.001240623532794416,0.9999947547912598,0.0005374289466999471,0.8960856199264526,0.0011712736450135708
12,17.234587609767914,16.42850725725293,0.806080337613821,0.9998544454574585,0.000905510620214045,0.9999294877052307,0.0006841671420261264,0.936985194683075,0.0037319243419915438,0.999808669090271,0.0016245554434135556,0.9998039603233337,0.0017218757420778275
13,17.301893688738346,17.125894971191883,0.17599872482242063,0.999573290348053,0.000872261356562376,0.9998865723609924,0.001213114825077355,0.9999557137489319,0.0013797483406960964,0.9878248572349548,0.008390193805098534,0.998231053352356,0.0011411863379180431
14,17.30743084102869,17.307030763477087,0.00040003471076488495,1.0000063180923462,0.0003931169048883021,0.9999029040336609,0.0018058540299534798,0.9999963045120239,0.0003098687157034874,0.9999508857727051,0.0008242218173108995,0.9999865889549255,0.00038208559271879494
15,17.305987257510424,17.305693574249744,0.0002936983946710825,0.9999824166297913,0.0004134132759645581,0.9999879002571106,0.00024476583348587155,0.9999948143959045,0.00020682155445683748,0.9999485015869141,0.0006539670866914093,0.9999889135360718,0.0003429377975407988
16,17.303948126733303,17.303814090788364,0.0001340443268418312,1.0000005960464478,0.000436490576248616,0.9999863505363464,0.0005535944947041571,0.9999837875366211,0.00012135200086049736,0.9999933242797852,0.0004185217840131372,1.0000030994415283,0.00035884298267774284
17,17.303885277360678,17.303730066865683,0.0001552256289869547,0.9999906420707703,0.0003266328712925315,0.9999930262565613,0.00035492112510837615,0.9999852776527405,0.00024961677263490856,1.0000075101852417,0.0004513667954597622,1.0000091791152954,0.0006386744789779186
18,17.304898113012314,17.304730515927076,0.0001676150131970644,1.0000090599060059,0.0004168807063251734,0.9999915957450867,0.0002796693006530404,1.0000015497207642,0.0002931835479103029,0.9999711513519287,0.00038561521796509624,0.9999809861183167,0.0006592478021048009
19,17.305171132087708,17.305015042424202,0.00015608983812853694,1.0000038146972656,0.0003828873159363866,0.9999513030052185,0.00028670436586253345,1.0000016689300537,0.00024188637326005846,0.9999892711639404,0.0004109930305276066,1.0000016689300537,0.00015551852993667126
20,17.304937604814768,17.304785653948784,0.00015193247236311436,0.9999899864196777,0.0004477119946386665,0.9999963045120239,0.00031103097717277706,0.9999867677688599,0.0002920035331044346,0.9999678134918213,0.00023541135306004435,1.0000131130218506,0.0005509365582838655
