beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std
0,0.9556151807773858,0.9556151807773858,0.0,2.170754669350572e-05,2.6307998268748634e-05,1.196417883875256e-06,1.4525585356750526e-06,5.69745825487189e-05,5.880452590645291e-05,1.547076681163162e-05,1.6459178368677385e-05,1.0329427823307924e-05,9.672076885181013e-06
1,7.430498465895653,3.342687826603651,4.087810632772744,0.264136403799057,0.007733659353107214,0.45577797293663025,0.006780881900340319,0.3677036762237549,0.006515519693493843,0.999615490436554,0.001449237228371203,0.3793761134147644,0.006514882668852806
2,11.275656718760729,6.6631620563566685,4.612494699656963,0.371582567691803,0.010214999318122864,0.9995729923248291,0.0027312394231557846,0.4961944818496704,0.00813655462116003,0.9995594024658203,0.0020689903758466244,0.5433880090713501,0.014917661435902119
3,13.150918047875166,8.139281135052443,5.011636920273304,0.6666810512542725,0.006811958272010088,0.4617408215999603,0.008514086715877056,0.9997711181640625,0.0008313960861414671,0.9994745254516602,0.000992968794889748,0.6099361777305603,0.008647541515529156
4,14.972538691014051,10.996403805911541,3.97613487765193,0.9998796582221985,0.0019888742826879025,0.5292636752128601,0.009064828045666218,0.9997375011444092,0.001316610723733902,0.9997086524963379,0.002220164518803358,0.7012133002281189,0.015024515800178051
5,15.8616226837039,12.050300873816013,3.8113218280486763,0.7875203490257263,0.006685416214168072,0.9998977780342102,0.0010128170251846313,0.9998733401298523,0.0011006061686202884,0.5922877788543701,0.00883661862462759,0.9997186660766602,0.0009975983994081616
6,16.53819950297475,13.03481006808579,3.5033893873915076,0.999812126159668,0.0012105037458240986,0.9996140003204346,0.0012908315984532237,0.8617380261421204,0.0031886405777186155,0.9998087882995605,0.0018266842234879732,0.6485211253166199,0.006699326913803816
7,17.106109905987978,14.58497254550457,2.521137359086424,0.9997478127479553,0.0009266440756618977,0.9999082684516907,0.0006514654960483313,0.6989129185676575,0.004587982315570116,0.9998666644096375,0.0007272223592735827,0.9998371601104736,0.0007223923457786441
8,17.444914039224386,15.135674607008696,2.309239408466965,0.9999428391456604,0.0004486091202124953,0.9999121427536011,0.0008198083960451186,0.7492461204528809,0.006597010884433985,0.9998527765274048,0.00090211839415133,0.9996417164802551,0.0010642012348398566
9,17.639672253280878,15.596558801829815,2.0431134183891118,0.7987988591194153,0.010683277621865273,0.9995959997177124,0.001754293916746974,0.9999103546142578,0.000735725334379822,0.9999241828918457,0.00118729448877275,0.9997513294219971,0.001271214336156845
10,17.8979701846838,16.156437899917364,1.7415322510059923,0.8411914706230164,0.003080301219597459,1.0000165700912476,0.00044928258284926414,0.999978244304657,0.0004496399487834424,0.9998922944068909,0.0007226503803394735,0.9995357394218445,0.0011887511936947703
11,18.128151297569275,16.646404024213552,1.4817472926806659,0.9999602437019348,0.0005188271752558649,0.8744962215423584,0.003872951492667198,0.9998965859413147,0.0008243776392191648,0.9992865324020386,0.0019667025189846754,0.999267578125,0.0013643576530739665
12,18.258127085864544,17.205731764435768,1.0523953668307513,0.999904215335846,0.0005967654287815094,0.9999433755874634,0.0005584054160863161,0.9159014225006104,0.0033890921622514725,0.9993775486946106,0.0010381527245044708,0.999663770198822,0.0005539930425584316
13,18.235922928899527,17.69402327015996,0.5418997156666592,0.9999029040336609,0.0006154574221000075,0.9998179078102112,0.0007633359637111425,0.95744389295578,0.00344845955260098,0.9998140931129456,0.0005626128404401243,0.9998604655265808,0.0009177214815281332
14,18.21496431902051,18.1941574588418,0.020806837012059987,0.9995059370994568,0.001882560783997178,1.0000401735305786,0.0005688766250386834,0.9993451237678528,0.0030251953285187483,0.9992707967758179,0.0037192078307271004,0.9999379515647888,0.00028310995548963547
15,18.2112536393106,18.204651959240437,0.006601735367439687,0.9998764991760254,0.001097927219234407,0.9998845458030701,0.0007967863930389285,0.9999756217002869,0.00045200862223282456,0.9997382760047913,0.004825967364013195,0.9999225735664368,0.0007150456076487899
16,18.20730086788535,18.20234164968133,0.004959249868988991,0.9999650120735168,0.0017762716161087155,1.0000131130218506,0.0006496100686490536,0.9999467730522156,0.0010076771723106503,0.9998335242271423,0.0019235283834859729,0.9999353289604187,0.0012806154554709792
17,18.20639942958951,18.20609513670206,0.0003042874741367996,0.9999690055847168,0.0009800787083804607,0.9999824166297913,0.00017244729679077864,0.9999814629554749,0.00030663644429296255,1.0000226497650146,0.0008101410930976272,1.0000313520431519,0.00023465431877411902
18,18.20940662547946,18.20912069454789,0.0002859423402696848,0.9999550580978394,0.000686942134052515,0.9999422430992126,0.0004921485087834299,0.9999719858169556,0.0005133040249347687,1.0000159740447998,0.00031338437111116946,0.9999977946281433,0.00037219151272438467
19,18.20622993260622,18.20610862970352,0.00012126361252740026,0.9999927282333374,0.0003186601970810443,1.0000232458114624,0.00024996421416290104,1.0000050067901611,0.0003200001665391028,0.999987006187439,0.0002794199390336871,1.0000009536743164,0.00039729796117171645
20,18.210020530968904,18.209450088441372,0.0005704665090888739,0.9999861717224121,0.00017989393381867558,0.9999312162399292,0.0004488340928219259,0.9999801516532898,0.0006461706361733377,0.9999996423721313,0.0003962429182138294,0.9999744296073914,0.0005561245488934219
