beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std
0,0.4212421178817749,0.4212421178817749,0.0,0.0011951248161494732,0.0016844943165779114,0.0008508267346769571,0.0011884334962815046,0.004946372006088495,0.00596319604665041,0.005615988280624151,0.006247976794838905,0.001852475805208087,0.0025597908534109592
1,7.23040771484375,2.487812042236328,4.742595672607422,0.2428969442844391,0.00435870373621583,0.534000039100647,0.03425583243370056,0.2003084123134613,0.004333632532507181,0.33884313702583313,0.013108616694808006,1.0005264282226562,0.0006468620849773288
2,11.494428634643555,5.440123558044434,6.054304599761963,0.2945531904697418,0.005680118687450886,0.9998918175697327,0.001117398263886571,0.4861626923084259,0.023450590670108795,0.3343564569950104,0.005432695150375366,0.9998875856399536,0.003159820567816496
3,13.940312385559082,6.580710411071777,7.359601974487305,0.9998206496238708,0.0007900761556811631,0.35786062479019165,0.005834159906953573,0.9996621012687683,0.003535743337124586,0.5886610150337219,0.012614679522812366,0.4114258289337158,0.013655170798301697
4,16.668752670288086,8.631587982177734,8.037164688110352,0.3994689881801605,0.005602707155048847,1.0002447366714478,0.003380020847544074,0.4882338047027588,0.00588738638907671,0.6906548738479614,0.017254646867513657,1.0001208782196045,0.0009305013227276504
5,18.399677276611328,10.12212085723877,8.277556419372559,0.7733575105667114,0.013309141620993614,0.9999827742576599,0.0014400059590116143,0.45470041036605835,0.008105049841105938,0.5422415733337402,0.012678897008299828,1.000239372253418,0.0026311655528843403
6,19.494735717773438,12.119405746459961,7.375329494476318,0.5945428609848022,0.036457885056734085,0.4862005412578583,0.018989432603120804,0.9996286034584045,0.0031954189762473106,0.999566376209259,0.0016412903787568212,0.9997259378433228,0.0013607065193355083
7,20.551116943359375,12.838865280151367,7.712252616882324,1.0004489421844482,0.0009795739315450191,0.5249925851821899,0.0158851258456707,1.000180721282959,0.005644950084388256,0.9991798996925354,0.0034285332076251507,0.6387373805046082,0.03569504991173744
8,22.466350555419922,14.864562034606934,7.60178804397583,0.5610493421554565,0.015855783596634865,0.9999117255210876,0.0006035499391146004,0.9995136857032776,0.001850400003604591,0.6885071396827698,0.03449279069900513,0.9997623562812805,0.0009289993904531002
9,23.362821578979492,15.999711036682129,7.3631110191345215,1.0002806186676025,0.0016481708735227585,0.6000443696975708,0.014557289890944958,0.7368816137313843,0.02150079607963562,0.9998193979263306,0.0005621588788926601,1.0003762245178223,0.001304342527873814
