beta,total_loss,rec_loss,kl_loss,enc_norm,dec_norm,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std
0,2.5497408504597843,2.5497408504597843,0.0,0.774477860191837,4.098537981510162,3.966591248172335e-05,2.304394229213358e-06,3.624826786108315e-05,9.960456736735068e-06,6.055953781469725e-05,7.68644895288162e-06
1,8.150039916858077,4.068067234009504,4.08197268191725,0.4465902817901224,6.75947954505682,0.20448997616767883,0.004312057513743639,0.24725794792175293,0.007013767957687378,0.33806997537612915,0.007769259158521891
2,11.579650897532701,5.499933163635433,6.079717738553882,0.4267971351509914,6.5645164623856544,0.4726654291152954,0.009470847435295582,0.3576372563838959,0.01058901660144329,0.28695571422576904,0.007825301960110664
3,14.416403464972973,7.153265813365579,7.263137694448233,0.40376138500869274,6.334451338276267,0.44445061683654785,0.010030328296124935,0.3458607792854309,0.009943989105522633,0.5829050540924072,0.01052871998399496
4,16.617382146418095,8.622476140037179,7.994906025007367,0.38105826172977686,6.12486488558352,0.39864131808280945,0.007421085145324469,0.5120224356651306,0.01311854925006628,0.6701970100402832,0.012641076929867268
5,18.314485244452953,10.046447541564703,8.268037745729089,0.3504751104628667,5.812582619488239,0.48496511578559875,0.009479127824306488,0.5196472406387329,0.012688367627561092,0.75604248046875,0.013971267268061638
6,19.92776169627905,11.65057585388422,8.277185797691345,0.32560210314113647,5.579725446179509,0.6302096843719482,0.014795301482081413,0.484459787607193,0.01112425047904253,0.8201383352279663,0.014258031733334064
7,21.101397778838873,13.106412313878536,7.994985384866595,0.2958830463467166,5.31264166161418,0.5272851586341858,0.01725822500884533,0.8875660300254822,0.016578253358602524,0.6786295175552368,0.015347171574831009
8,22.20011716336012,14.500883128494024,7.699234031140804,0.2634758773492649,5.053340919315815,0.7249831557273865,0.013096349313855171,0.9581535458564758,0.01063830591738224,0.5554129481315613,0.011059099808335304
9,22.779958829283714,15.844284277409315,6.935674525797367,0.22861902142176405,4.738830475136638,0.6032615900039673,0.013045337051153183,0.9993900656700134,0.003911653999239206,0.7717666625976562,0.013664303347468376
