beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std
0,2.4892264106310904,2.4892264106310904,0.0,3.5364553241379326e-06,8.315273589687422e-06,6.109160040068673e-07,9.69550114859885e-07,9.680618859420065e-06,3.0813873308943585e-05
1,8.117663880810142,4.003867213614285,4.113796662539244,0.2088143676519394,0.005160843953490257,0.2337590754032135,0.006503424607217312,0.33690717816352844,0.013206803239881992
2,11.655922558158636,5.519819778390229,6.1361027751117945,0.473532110452652,0.010932400822639465,0.28503432869911194,0.0087578184902668,0.34527912735939026,0.00888659618794918
3,14.384176809340715,7.011176597326994,7.373000234365463,0.4291292726993561,0.009918027557432652,0.3469166159629822,0.011007942259311676,0.5773359537124634,0.013018841855227947
4,16.62516801804304,8.538268150761724,8.086899830028415,0.40173766016960144,0.008394013158977032,0.6688260436058044,0.009745913557708263,0.4936772584915161,0.00782004650682211
5,18.30778371170163,10.002693086862564,8.305090649053454,0.5577807426452637,0.007565927226096392,0.7459778189659119,0.0075188204646110535,0.45411863923072815,0.006566758267581463
6,20.27618806809187,12.959644004702568,7.316544087603688,0.6020184755325317,0.009171869605779648,0.49245551228523254,0.0051870220340788364,0.9999426603317261,0.00093029101844877
7,21.370874229818583,14.08227076753974,7.288603499531746,0.99932861328125,0.001622054143808782,0.6604017019271851,0.007489560171961784,0.5398488640785217,0.005435592960566282
8,22.127048909664154,14.894790019840002,7.232258891686797,0.7032004594802856,0.0077768475748598576,0.569467306137085,0.005704146809875965,0.9998438954353333,0.0011938941897824407
9,23.178914800286293,16.08153084293008,7.097384016029537,0.6108621954917908,0.0051059904508292675,0.7442641854286194,0.005848335567861795,0.9997265934944153,0.0013777368003502488
10,24.097034502774477,16.968979191035032,7.12805538251996,0.629382312297821,0.005524180829524994,0.9995306730270386,0.0007557825301773846,0.7793659567832947,0.0020338385365903378
11,24.638374023139477,18.004541359841824,6.633832696825266,0.9997282028198242,0.0008964419830590487,0.6658077836036682,0.0010637585073709488,0.821933925151825,0.00266818143427372
12,25.49095045775175,21.174582589417696,4.316367858555168,1.0001978874206543,0.0015380691038444638,0.697114884853363,0.0034199084620922804,0.9997277855873108,0.0010953209130093455
13,25.75821965560317,20.104964677244425,5.653254929929972,0.8927608728408813,0.004378462675958872,0.9997765421867371,0.0009029450593516231,0.7265504598617554,0.0028303214348852634
14,25.891062200069427,20.700072817504406,5.19098936393857,0.7508387565612793,0.0019005030626431108,0.9180458784103394,0.0009305568528361619,0.9994585514068604,0.000698527495842427
15,26.459398437291384,22.707579143345356,3.7518193065188825,0.9998277425765991,0.0004030721611343324,1.000150442123413,0.0005426178686320782,0.7814302444458008,0.0008956389501690865
16,26.60134917870164,23.241309121251106,3.360040046274662,0.9998494982719421,0.000636026612482965,0.8078693151473999,0.00137685751542449,0.99994295835495,0.0005441813264042139
17,26.799168668687344,23.68713891506195,3.1120297336019576,0.9997538328170776,0.0007921407232061028,0.9997403621673584,0.0011236058780923486,0.8311581611633301,0.003052978776395321
18,27.115983814001083,24.228748373687267,2.8872354114428163,0.9999669194221497,0.0002582896559033543,0.8542346358299255,0.0008842386305332184,0.9990684986114502,0.0012060229200869799
19,27.284986205399036,24.864133343100548,2.4208528373856097,0.9999065399169922,0.000660104036796838,0.9999558329582214,0.000920161372050643,0.8819015622138977,0.000877961574587971
20,27.46958953514695,25.436555236577988,2.0330342408269644,0.9029351472854614,0.0027484444435685873,0.9999868273735046,0.0008130514179356396,1.0000349283218384,0.0005036647198721766
21,27.4856589846313,25.797654923051596,1.6880040890537202,0.9206151962280273,0.0019981618970632553,0.9998672604560852,0.0008176433038897812,0.9996244311332703,0.001435608952306211
22,27.2626124471426,26.02095229178667,1.241660149418749,0.9997719526290894,0.009266606532037258,0.9483547806739807,0.002670397749170661,0.99965900182724,0.0019123479723930359
23,27.445330157876015,26.903788562864065,0.5415415815659799,0.9905857443809509,0.0017756880261003971,0.997638463973999,0.0025150030851364136,0.9902839064598083,0.002171017462387681
24,27.673379756510258,27.545196749269962,0.12818304263055325,0.9955265522003174,0.0022124829702079296,0.9992094039916992,0.001252516987733543,0.9974838495254517,0.0016065186355262995
25,27.562017869204283,27.5520405061543,0.00997738097794354,0.9997785091400146,0.0017714133718982339,0.9997290968894958,0.0017751675331965089,0.9999861121177673,0.002440104028210044
26,27.57526073232293,27.572331834584475,0.002928936679381877,0.9997962713241577,0.0018415097147226334,0.99983811378479,0.0024010143242776394,0.9998607635498047,0.002762650605291128
27,27.560542982071638,27.559880029410124,0.0006630043499171734,0.9999412298202515,0.0012087851064279675,0.9999842047691345,0.0008963739383034408,0.9999865889549255,0.001481642248108983
28,27.560788080096245,27.560260962694883,0.0005270828260108829,0.9999819397926331,0.0004704940947704017,0.9999998211860657,0.0006032327655702829,0.9999195337295532,0.0004187356389593333
29,27.560133822262287,27.5600106716156,0.00012314121704548597,0.9999836087226868,0.0005884291022084653,0.9999892711639404,0.0005447055445984006,0.9999973177909851,0.00044984635314904153
30,27.55077913403511,27.544602870941162,0.006176258611958474,0.999926745891571,0.0007266605971381068,1.0000394582748413,0.0014164773747324944,0.9998612999916077,0.0037575766909867525
